//CoDeSys Mapping Export V1.2;;;;;
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first ;;;;;
;Channel 0;;Read Discrete Inputs;%IB0;Modbus_TCP_Slave
;Channel 0[0];;Read Discrete Inputs;%IB0;Modbus_TCP_Slave
Application.GVL.Wi1_I_0;Bit0;;0x0000;%IX0.0;Modbus_TCP_Slave
Application.GVL.Wo1_I_1;Bit1;;0x0001;%IX0.1;Modbus_TCP_Slave
Application.GVL.L7_I_2;Bit2;;0x0002;%IX0.2;Modbus_TCP_Slave
Application.GVL.R3_I_3;Bit3;;0x0003;%IX0.3;Modbus_TCP_Slave
Application.GVL.R3_I_4;Bit4;;0x0004;%IX0.4;Modbus_TCP_Slave
Application.GVL.R3_I_5;Bit5;;0x0005;%IX0.5;Modbus_TCP_Slave
Application.GVL.R5_I_6;Bit6;;0x0006;%IX0.6;Modbus_TCP_Slave
Application.GVL.R5_I_7;Bit7;;0x0007;%IX0.7;Modbus_TCP_Slave
;Channel 0[1];;Read Discrete Inputs;%IB1;Modbus_TCP_Slave
Application.GVL.R5_I_8;Bit0@1;;0x0008;%IX1.0;Modbus_TCP_Slave
Application.GVL.R9_I_9;Bit1@1;;0x0009;%IX1.1;Modbus_TCP_Slave
Application.GVL.R9_I_10;Bit2@1;;0x000A;%IX1.2;Modbus_TCP_Slave
Application.GVL.R9_I_11;Bit3@1;;0x000B;%IX1.3;Modbus_TCP_Slave
Application.GVL.R8_I_12;Bit4@1;;0x000C;%IX1.4;Modbus_TCP_Slave
Application.GVL.R8_I_13;Bit5@1;;0x000D;%IX1.5;Modbus_TCP_Slave
Application.GVL.R8_I_14;Bit6@1;;0x000E;%IX1.6;Modbus_TCP_Slave
Application.GVL.R7_I_15;Bit7@1;;0x000F;%IX1.7;Modbus_TCP_Slave
;Channel 0[2];;Read Discrete Inputs;%IB2;Modbus_TCP_Slave
Application.GVL.R7_I_16;Bit0@2;;0x0010;%IX2.0;Modbus_TCP_Slave
Application.GVL.R7_I_17;Bit1@2;;0x0011;%IX2.1;Modbus_TCP_Slave
